station_name	station_code	elevated	toilet	gate_number	gate_location	divyang_friendly	parking_available	parking_cycle	parking_motorcycle	parking_car	lat	lon
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 1	towards tota ram bazaar	FALSE	TRUE	20	90	25	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 1	towards tota ram bazaar	FALSE	TRUE	30	100	30	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 2	towards tri nagar	FALSE	TRUE	60	1200	400	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 2	towards tri nagar	FALSE	TRUE	20	90	25	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 2	towards tri nagar	FALSE	TRUE	30	100	30	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 3	towards jj colony	FALSE	TRUE	60	1200	400	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 3	towards jj colony	FALSE	TRUE	20	90	25	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 3	towards jj colony	FALSE	TRUE	30	100	30	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 4	towards mdc complex	TRUE	TRUE	60	1200	400	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 4	towards mdc complex	TRUE	TRUE	20	90	25	28.68239924	77.16477705
kanhaiya nagar 	KN	TRUE	TRUE	gate no. 4	towards mdc complex	TRUE	TRUE	30	100	30	28.68239924	77.16477705
keshav puram	KP	TRUE	TRUE	gate no. 1	"towards dispensary, chotu ram dharamshala"	FALSE	TRUE	60	350	100	28.688944	77.161774
keshav puram	KP	TRUE	TRUE	gate no. 2	towards keshav puram residential area	FALSE	TRUE	60	350	100	28.688944	77.161774
keshav puram	KP	TRUE	TRUE	gate no. 3	adjacent to parking	FALSE	TRUE	60	350	100	28.688944	77.161774
keshav puram	KP	TRUE	TRUE	gate no. 4	towards ashok vihar	FALSE	TRUE	60	350	100	28.688944	77.161774
kaushambi	KSHI	TRUE	TRUE	gate no. 3	towards fob	FALSE	TRUE	20	250	100	28.645428	77.322273
kaushambi	KSHI	TRUE	TRUE	gate no. 2	towards yashoda hospital and wave cinema	FALSE	TRUE	20	250	100	28.645428	77.322273
kaushambi	KSHI	TRUE	TRUE	gate no. 1	towards mohan nagar anand vihar road	TRUE	TRUE	20	250	100	28.645428	77.322273
lajpat nagar	LJPN	TRUE	TRUE	gate no. 5 (pink line)	block 1 lajpat nagar iii	TRUE	TRUE	10	40	75	28.57058696	77.23640838
lajpat nagar	LJPN	TRUE	TRUE	gate no. 3	defence colony	TRUE	TRUE	10	40	75	28.57058696	77.23640838
lajpat nagar	LJPN	TRUE	TRUE	gate no. 2	lajpat nagar market	FALSE	TRUE	10	40	75	28.57058696	77.23640838
lajpat nagar	LJPN	TRUE	TRUE	gate no. 1	parking side-lajpat nagar market	TRUE	TRUE	10	40	75	28.57058696	77.23640838
												
												
												
												
												
												
												
												
												
madipur	MAPR	TRUE	TRUE	gate no. 2	railways reservation counter	TRUE	TRUE	104	997	97	28.676474	77.11936599
madipur	MAPR	TRUE	TRUE	gate no. 1	madipur village	FALSE	TRUE	104	997	97	28.676474	77.11936599
												
												
												
												
												
												
												
												
mohan estate	METE	TRUE	TRUE	gate no. 2	dmrc staff qtr	TRUE	TRUE	91	873	85	28.51959	77.294518
mohan estate	METE	TRUE	TRUE	gate no. 1	haldiram	TRUE	TRUE	91	873	85	28.51959	77.294518
m.g. road	MGRO	TRUE	TRUE	gate no. 2	mgf metropoliton mall	TRUE	TRUE	35	338	33	28.47954637	77.07989815
m.g. road	MGRO	TRUE	TRUE	gate no. 1	dt city centre mall	TRUE	TRUE	35	338	33	28.47954637	77.07989815
												
												
												
pandit shree ram sharma	MIEE	TRUE	TRUE	gate no. 2	mie part b	TRUE	TRUE	60	572	56	28.689213	76.951088
pandit shree ram sharma	MIEE	TRUE	TRUE	gate no. 1	mie part a	TRUE	TRUE	60	572	56	28.689213	76.951088
												
												
												
												
												
												
												
												
majlis park	MKPR	TRUE	TRUE	gate no. 2	exit towards arihant marg	TRUE	TRUE	100	150	70	28.724157	77.182068
majlis park	MKPR	TRUE	TRUE	gate no. 1	entry from arihant marg	TRUE	TRUE	100	150	70	28.724157	77.182068
moolchand	MLCD	TRUE	TRUE	gate no. 1	"moolchand hospital, andrews ganj"	TRUE	TRUE	32	304	30	28.56439157	77.23425739
moti nagar	MN	TRUE	TRUE	gate no. 4	kirti nagar	FALSE	TRUE	94	901	89	28.6578584	77.14243701
moti nagar	MN	TRUE	TRUE	gate no. 3	kalra hospital	FALSE	TRUE	94	901	89	28.6578584	77.14243701
moti nagar	MN	TRUE	TRUE	gate no. 2	fun cinema	TRUE	TRUE	94	901	89	28.6578584	77.14243701
moti nagar	MN	TRUE	TRUE	gate no. 1	moti nagar market	TRUE	TRUE	94	901	89	28.6578584	77.14243701
												
												
mansarovar park	MPK	TRUE	TRUE	gate no. 1	jhilmil industrial area	TRUE	TRUE	60	250	30	28.67538681	77.30085609
mansarovar park	MPK	TRUE	TRUE	gate no. 2	"gt road flyover, swami  dayanand hospital, ihbas, gtb hospital"	TRUE	TRUE	60	250	30	28.67538681	77.30085609
mundka	MUDK	TRUE	TRUE	gate no. 2	metro parking	TRUE	TRUE	274	2626	255	28.6824463	77.03058163
mundka	MUDK	TRUE	TRUE	gate no. 1	rohtak road	FALSE	TRUE	274	2626	255	28.6824463	77.03058163
												
												
												
												
												
malviya nagar	MVNR	FALSE	TRUE	gate no. 4	pvr anupam saket	FALSE	TRUE	29	282	27	28.52909208	77.20483495
malviya nagar	MVNR	FALSE	TRUE	gate no. 3	"select city walk mall,max hospital,saket court"	TRUE	TRUE	29	282	27	28.52909208	77.20483495
malviya nagar	MVNR	FALSE	TRUE	gate no. 1	"mvnr ps,geetanjali enclave"	TRUE	TRUE	29	282	27	28.52909208	77.20483495
mayur vihar -i	MVP 1.00	TRUE	TRUE	gate no. 4 (pink line)	arya samaj mandir	TRUE	TRUE	15	100	40	28.60364486	77.29092371
mayur vihar -i	MVP 1.00	TRUE	TRUE	gate no. 3 (pink line)	mayur vihar phase 1 infront of gate no 02	TRUE	TRUE	15	100	40	28.60364486	77.29092371
mayur vihar -i	MVP 1.00	TRUE	TRUE	gate no. 2	noida link road	TRUE	TRUE	15	100	40	28.60364486	77.29092371
mayur vihar -i	MVP 1.00	TRUE	TRUE	gate no. 1	mvp1 residential area	FALSE	TRUE	15	100	40	28.60364486	77.29092371
												
												
mayapuri	MYPI	TRUE	TRUE	gate no. 2	dtc mayapuri depot	TRUE	TRUE	46	445	43	28.637098	77.129738
mayapuri	MYPI	TRUE	TRUE	gate no. 1	priyadarshni park	TRUE	TRUE	46	445	43	28.637098	77.129738
												
												
shaheed sthal ( new bus adda)	NBAA	TRUE	TRUE	gate no. 1	"meerut mod, pelican hotel, dewan diagnostics"	TRUE	TRUE	16	311	0	28.67064727	77.41546186
shaheed sthal ( new bus adda)	NBAA	TRUE	TRUE	gate no. 2	"red mall, gt road towards moahan nagar"	TRUE	TRUE	16	311	0	28.67064727	77.41546186
neelam chowk ajronda	NCAJ	TRUE	TRUE	gate no. 3	18/1 mathura road (opposite neelam chowk ajronda)	TRUE	TRUE	15	250	100	28.39764839	77.31237112
neelam chowk ajronda	NCAJ	TRUE	TRUE	gate no. 2	"lg04, crown plaza mall, azad colony"	FALSE	TRUE	15	250	100	28.39764839	77.31237112
neelam chowk ajronda	NCAJ	TRUE	TRUE	gate no. 1	"lakhani armaan, neelam chowk, ajraonda, mathura road"	FALSE	TRUE	15	250	100	28.39764839	77.31237112
noida city centre	NCC	TRUE	TRUE	gate no. 4	"sector 39, 41, 50 & 51"	FALSE	TRUE	50	220	90	28.574593	77.356117
noida city centre	NCC	TRUE	TRUE	gate no. 3	logix mall side	FALSE	TRUE	50	220	90	28.574593	77.356117
noida city centre	NCC	TRUE	TRUE	gate no. 2	"sector 39.41,50 & 51"	TRUE	TRUE	50	220	90	28.574593	77.356117
noida city centre	NCC	TRUE	TRUE	gate no. 1	dmrc parking side	TRUE	TRUE	50	220	90	28.574593	77.356117
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 4	"airport line , civic center"	FALSE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 3	kamla market	TRUE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 2	new delhi railway station	FALSE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 1	new delhi railway station	FALSE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 6 (airport express)	pathway connecting to new delhi railway station	TRUE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 5 (airport express)	new delhi railway station road	TRUE	TRUE	0	100	800	28.6434814	77.22275094
new delhi (yellow & airport line)	NDI	FALSE	TRUE	gate no. 1 (airport express)	bhavbhuti marg	TRUE	TRUE	0	100	800	28.6434814	77.22275094
noida electronic city	NECC	TRUE	TRUE	gate no. 3	"highway tower, i-thumb tower, graphics tower, gol chakkar sect-62"	FALSE	TRUE	10	300	150	28.628685	77.375229
noida electronic city	NECC	TRUE	TRUE	gate no. 2	"sect-63, h-block noida, sbi, pnb,hdfc bank, haldiram restaurant, ginjer hotel, domino's"	TRUE	TRUE	10	300	150	28.628685	77.375229
noida electronic city	NECC	TRUE	TRUE	gate no. 1	near dmrc parking	TRUE	TRUE	10	300	150	28.628685	77.375229
												
												
												
nhpc chowk	NHPC	TRUE	TRUE	gate no. 3	motor 1 (luxury automotive workshop)	TRUE	TRUE	56	534	52	28.45773135	77.30736105
nhpc chowk	NHPC	TRUE	TRUE	gate no. 2	jiva ayurveda	TRUE	TRUE	56	534	52	28.45773135	77.30736105
nhpc chowk	NHPC	TRUE	TRUE	gate no. 1	kia motors	FALSE	TRUE	56	534	52	28.45773135	77.30736105
												
												
												
												
												
nangloi	NNOI	TRUE	TRUE	gate no. 2	"govt. sarvodya bal / kanya vidhalaya nangloi, govt girls sr. sec school nangloi"	FALSE	TRUE	254	2438	237	28.682356	77.064728
nangloi	NNOI	TRUE	TRUE	gate no. 1	"kirari mor, delhi police staff quarter"	TRUE	TRUE	254	2438	237	28.682356	77.064728
nehru place	NP	TRUE	TRUE	gate no. 2	"nehru place market, eros corporate tower"	TRUE	TRUE	134	1288	125	28.5514154	77.25174052
												
												
												
												
												
												
												
												
netaji subhash place	NSHP	TRUE	TRUE	gate no. 1	towards lots entry	TRUE	TRUE	50	200	80	28.69472868	77.15427959
netaji subhash place	NSHP	TRUE	TRUE	gate no. 2	towards service road	FALSE	TRUE	50	200	80	28.69472868	77.15427959
netaji subhash place	NSHP	TRUE	TRUE	gate no. 3	towards lots entry	FALSE	TRUE	50	200	80	28.69472868	77.15427959
