station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon
pitampura	PTP	TRUE	TRUE	FALSE	0	0	0		28.70318	77.132355
preet vihar	PTVR	TRUE	TRUE	FALSE	0	0	0		28.641352	77.295158
paschim vihar east	PVE	TRUE	TRUE	TRUE	30	291	28	Near Gate No.2	28.677305	77.112251
paschim vihar west	PVW	TRUE	TRUE	FALSE	0	0	0		28.678539	77.102119
qutab minar	QM	TRUE	TRUE	TRUE	49	471	46	Near Gate No.1	28.51294867655710	77.18644647553410
rajiv chowk	RCK	FALSE	TRUE	TRUE	0	600	1500	Inner Circle Connaught Place	28.632713840425800	77.21931251116010
rajdhani park	RDPK	TRUE	TRUE	FALSE	0	0	0		28.682217	77.043869
rajouri garden	RG	TRUE	TRUE	TRUE	35	334	32	Near Gate 1 & 3	28.651202101134400	77.12427114745410
rohini east	RHE	TRUE	TRUE	TRUE	20	200	120	Near Gate No.3	28.707941	77.125732
rohini east	RHE	TRUE	TRUE	TRUE	4	50	5	Near to Gate 01	28.707941	77.125732
rohini west	RHW	FALSE	TRUE	FALSE	0	0	0		28.715008	77.115746
rithala	RI	TRUE	TRUE	TRUE	125	1198	116	Adjacent to Gate No.2	28.72080395089110	77.10718988376600
"rohini sector - 18, 19"	RISE	TRUE	TRUE	TRUE	82	791	77	Near Gate Number-02	28.73838767991500	77.139908959432
raj bagh	RJBH	TRUE	TRUE	FALSE	0	0	0		28.677122	77.346466
major mohit sharma rajendra nagar	RJNM	TRUE	TRUE	FALSE	0	0	0		28.677598835656000	77.35811601104910
ramakrishna ashram marg	RKAM	TRUE	TRUE	TRUE	52	497	48	Near Gate No. 3		
r.k.puram	RKPM	FALSE	TRUE	FALSE	0	0	0			
ramesh nagar	RN	TRUE	TRUE	TRUE	63	602	59	Near Gate No. 02	28.652809	77.131462
rajendra place	RP	TRUE	TRUE	TRUE	32	305	30	Near Gate No. 1	28.64252098088260	77.1783223456237
sadar bazar cantonment	SABR	FALSE	TRUE	FALSE	0	0	0		28.577108	77.111305
shakurpur	SAKP	TRUE	TRUE	FALSE	0	0	0		28.685781	77.149651
saket	SAKT	FALSE	TRUE	TRUE	85	812	79	Near Gate No. 3	28.521173873550800	77.20227044091020
saket	SAKT	FALSE	TRUE	TRUE	85	812	79	Near Gate No. 2	28.521173873550800	77.20227044091020
sector - 59 noida	SFNN	TRUE	TRUE	FALSE	0	0	0			
sector - 52 noida	SFTN	TRUE	TRUE	FALSE	0	0	0			
shahdara	SHD	TRUE	TRUE	TRUE	163	1569	150	Near Gate No.1	28.67345713451480	77.28988398120440
shaheed nagar	SHDN	TRUE	TRUE	TRUE	74	714	69	Near Gate No. 2	28.676615	77.333809
shastri park	SHPK	FALSE	TRUE	TRUE	50	250	0	Near Gate No.1	28.668451	77.250404
shastri park	SHPK	FALSE	TRUE	TRUE	0	0	55	Near Gate No.1	28.668451	77.250404
shastri nagar	SHT	TRUE	TRUE	TRUE	9	70	60	Near Gate No. 2	28.670135	77.181679
shastri nagar	SHT	TRUE	TRUE	TRUE	10	20	110	Near Gate No.1	28.670135	77.181679
shivaji park	SHVP	TRUE	TRUE	FALSE	0	0	0		28.67501029163150	77.13048564467700
sikanderpur	SKRP	FALSE	TRUE	TRUE	45	432	42	Near Gate No. 2	28.48127214352590	77.09299601303590
shankar vihar	SKVR	FALSE	TRUE	FALSE	0	0	0		28.560787	77.140442
seelampur	SLAP	TRUE	FALSE	TRUE	90	900	200	Near Gate No.1	28.6697906510824	77.26679222198280
sultanpur	SLTP	TRUE	TRUE	TRUE	9	84	8	Near Gate No. 1	28.499214	77.161362
shalimar bagh	SMBG	FALSE	TRUE	FALSE	0	0	0		28.70182	77.165184
shyam park	SMPK	TRUE	TRUE	FALSE	0	0	0		28.678217	77.370911
maharaja surajmal stadium	SMSM	TRUE	TRUE	FALSE	0	0	0		28.681833	77.073891
subhash nagar	SN	TRUE	TRUE	TRUE	27	255	25	Near to Gate 02 & 04	28.640463581888400	77.10519523216270
south extension	SOEN	FALSE	TRUE	FALSE	0	0	0		28.568570549504500	77.22058637152450
sarojini nagar	SOJI	FALSE	TRUE	FALSE	0	0	0		28.570208	77.187866
shadipur	SP	TRUE	TRUE	TRUE	95	911	89	Near Gate No. 7	28.651654026979300	77.15831929668370
samaypur badli	SPBI	TRUE	TRUE	FALSE	0	0	0		28.74464334933960	77.13827184672860
sarai	SRAI	TRUE	TRUE	TRUE	25	240	23	Near Gate No.2	28.47794	77.304932
satguru ram singh marg	SRSM	TRUE	TRUE	FALSE	0	0	0		28.662057197988600	77.15770167927750
sector - 61 noida	SSON	TRUE	TRUE	FALSE	0	0	0			
sector - 62 noida	SSTN	TRUE	TRUE	FALSE	0	0	0			
sector - 34 noida	STFN	TRUE	TRUE	FALSE	0	0	0			
sector-28	STTA	TRUE	TRUE	TRUE	44	223	41	Near Gate No.2	28.438204355690200	77.30907681984160
sarita vihar	STVR	TRUE	TRUE	TRUE	70	667	65	Near Gate No.2	28.528622	77.288345
sir m. vishweshwaraiah moti bagh	SVMB	TRUE	TRUE	FALSE	0	0	0		28.578529	77.175713
shiv vihar	SVVR	TRUE	TRUE	FALSE	0	0	0		28.7213778913623	77.28947398259020
tagore garden	TG	TRUE	TRUE	TRUE	36	343	33	Near Gate No.1 & 4	28.643795	77.112747
tikri border	TKBR	TRUE	TRUE	FALSE	0	0	0		28.687876	76.963783
tughlakabad station	TKDS	TRUE	TRUE	FALSE	0	0	0		28.502554315346500	77.29938749747390
tikri kalan	TKLM	TRUE	TRUE	FALSE	0	0	0		28.686899	76.977249
trilokpuri-sanjay lake	TKPR	TRUE	TRUE	FALSE	0	0	0		28.613506	77.308678
tilak nagar	TN	TRUE	TRUE	TRUE	12	111	11	Near Gate No. 04	28.636568	77.096336
tis hazari	TZI	TRUE	TRUE	TRUE	50	200	150	Near Gate No.3	28.667137	77.216721
udyog bhawan	UDB	FALSE	TRUE	FALSE	0	0	0		28.60950356746320	77.21179751016790
uttam nagar east	UNE	TRUE	TRUE	TRUE	105	953	120	Near Gate No. 1	28.624826972843700	77.06527335676000
udyog nagar	UNRG	TRUE	TRUE	TRUE	87	836	81	Near Gate Number 2	28.68110032796570	77.08085216201270
uttam nagar west	UNW	TRUE	TRUE	TRUE	40	385	37	Near Gate No. 03	28.621672	77.055664
vaishali	VASI	TRUE	TRUE	TRUE	20	450	0	Opposite Gate No.1 & 2	28.650059	77.337608
east vinod nagar-mayur vihar -ii	VENT	TRUE	TRUE	FALSE	0	0	0		28.620052	77.305588
mandawali - west vinod nagar	VNNR	TRUE	TRUE	FALSE	0	0	0		28.624861	77.304146
vinobapuri	VNPR	FALSE	TRUE	TRUE	7	66	6		28.565870953951300	77.24930055106180
vidhan sabha	VS	FALSE	TRUE	FALSE	0	0	0		28.686295875022500	77.22174356978000
vasant vihar	VTVR	FALSE	TRUE	TRUE	148	1424	138	Near Gate No. 3	28.55780944585450	77.16113034955780
vishwavidyalaya	VW	FALSE	TRUE	TRUE	126	1214	118	Near Gate No.2	28.69503924813120	77.21472094208250
welcome	WC	TRUE	TRUE	TRUE	100	800	150	Near Exit Gate	28.672374617453300	77.27708057231570
yamuna bank	YB	FALSE	TRUE	TRUE	40	150	130	Near Gate No. 1	28.623178	77.267937
