station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon	contractor	contact_number	parking_lat	parking_lon
nangloi railway station	NRSN	TRUE	TRUE	FALSE	0	0	0		29	77				
noida sector-18	NSET	TRUE	TRUE	FALSE	0	0	0		28	77				
noida sector-15	NSFT	TRUE	TRUE	FALSE	0	0	0		28	77				
netaji subhash place	NSHP	TRUE	TRUE	TRUE	50	200	80	Near Gate No. 2	29	77	M/s. Ashok Kumar Sharma	9868266382	29	77
noida sector-16	NSST	TRUE	TRUE	FALSE	0	0	0		28	77				
nehru enclave	NUEE	FALSE	TRUE	FALSE	0	0	0		29	77				
nirman vihar	NV	TRUE	TRUE	FALSE	0	0	0		29	77				
nawada	NWD	TRUE	TRUE	TRUE	14	135	13	Near Gate 01	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
old faridabad	OFDB	TRUE	TRUE	TRUE	15	250	100	Near Gate No. 1	28	77	M/s. Dhiraj Gupta.	9811115398	28	77
old faridabad	OFDB	TRUE	TRUE	TRUE	15	250	100	Near Gate No. 3	28	77	M/s. Dhiraj Gupta.	9811115398	28	77
okhla bird sanctuary	OKBS	FALSE	TRUE	TRUE	40	700	190	Near Gate No. 3	29	77	Raj Kumar Khanna & Sons	9810250891	29	77
okhla bird sanctuary	OKBS	FALSE	TRUE	TRUE	40	700	190	Near Gate No. 1	29	77	Raj Kumar Khanna & Sons	9810250891	29	77
okhla nsic	OKNS	FALSE	TRUE	FALSE	0	0	0		29	77				
okhla vihar	OVA	TRUE	TRUE	FALSE	0	0	0		29	77				
peeragarhi	PAGI	TRUE	TRUE	TRUE	54	516	50	Near Gate No. 1	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
palam	PALM	FALSE	TRUE	TRUE	46	439	43		29	77	M/s. Kake Finvest Pvt. Ltd.	"9810109914
9716819619"	29	77
punjabi bagh	PBGA	TRUE	TRUE	TRUE	64	615	60	Near Gate No. 2	29	77	M/s. Manpreet Singh & Co.	9810187157	29	77
pulbangash	PBGH	TRUE	TRUE	TRUE	25	77	250	Near Gate No.1	29	77	Raj Kumar Khanna & Sons	9810250891	29	77
punjabi bagh west	PBGW	FALSE	TRUE	FALSE	0	0	0		29	77				
patel nagar	PN	TRUE	TRUE	TRUE	31	297	29	Near Gate No. 5	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
pratap nagar	PRA	TRUE	TRUE	TRUE	15	70	130	Near Gate No.1	29	77	M/s. Sanjeev Kumar	9910719234	29	77
pratap nagar	PRA	TRUE	TRUE	TRUE	15	70	130	Near Gate No.2	29	77	M/s. Sanjeev Kumar	9910719234	29	77
panchsheel park	PSPK	FALSE	TRUE	FALSE	0	0	0		29	77				
patel chowk	PTCK	FALSE	TRUE	TRUE	79	760	73	Near Gate No.1	29	77	M/s. Jagtar Singh.	"9968279278
9711113313"	29	77
patel chowk	PTCK	FALSE	TRUE	TRUE	91	876	85	Near Gate No.2	29	77	M/s. Jagtar Singh.	"9968279278
9711113313"	29	77
patel chowk	PTCK	FALSE	TRUE	TRUE	49	477	46	Near Gate No.3	29	77	M/s. Jagtar Singh.	"9968279278
9711113313"	29	77
supreme court	PTMD	TRUE	TRUE	TRUE	20	60	30	Near Gate No.2	29	77	M/s. Snepra Secure Services Pvt. Ltd	9650365860	29	77
pitampura	PTP	TRUE	TRUE	FALSE	0	0	0		29	77				
preet vihar	PTVR	TRUE	TRUE	FALSE	0	0	0		29	77				
paschim vihar east	PVE	TRUE	TRUE	TRUE	30	291	28	Near Gate No.2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
paschim vihar west	PVW	TRUE	TRUE	FALSE	0	0	0		29	77				
qutab minar	QM	TRUE	TRUE	TRUE	49	471	46	Near Gate No.1	29	77	M/s. Sushil Kumar Singh.	9350998661	29	77
rajiv chowk	RCK	FALSE	TRUE	TRUE	0	600	1500	Inner Circle Connaught Place	29	77				
rajdhani park	RDPK	TRUE	TRUE	FALSE	0	0	0		29	77				
rajouri garden	RG	TRUE	TRUE	TRUE	35	334	32	Near Gate 1 & 3	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
rohini east	RHE	TRUE	TRUE	TRUE	20	200	120	Near Gate No.3	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
rohini east	RHE	TRUE	TRUE	TRUE	4	50	5	Near to Gate 1 & 2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
rohini west	RHW	FALSE	TRUE	FALSE	0	0	0		29	77				
rithala	RI	TRUE	TRUE	TRUE	125	1198	116	Adjacent to Gate No.2	29	77	M/s. Ajay Kumar.	"9013414327,
9810035926"	29	77
rithala	RI	TRUE	TRUE	TRUE	125	1198	116	Adjacent to Gate No.3	29	77	M/s. Ajay Kumar.	"9013414327,
9810035926"	29	77
"rohini sector - 18, 19"	RISE	TRUE	TRUE	TRUE	82	791	77	Near Gate Number-02	29	77	M/s. Hindustan Trading Co.	9891014005	29	77
raj bagh	RJBH	TRUE	TRUE	FALSE	0	0	0		29	77				
major mohit sharma rajendra nagar	RJNM	TRUE	TRUE	FALSE	0	0	0		29	77				
ramakrishna ashram marg	RKAM	TRUE	TRUE	TRUE	52	497	48	Near Gate No. 3	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
r.k.puram	RKPM	FALSE	TRUE	FALSE	0	0	0							
ramesh nagar	RN	TRUE	TRUE	TRUE	63	602	59	Near Gate No. 02	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	770131213
rajendra place	RP	TRUE	TRUE	TRUE	32	305	30	Near Gate No. 1	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
sadar bazar cantonment	SABR	FALSE	TRUE	FALSE	0	0	0		29	77				
shakurpur	SAKP	TRUE	TRUE	FALSE	0	0	0		29	77				
saket	SAKT	FALSE	TRUE	TRUE	85	812	79	Near Gate No. 3	29	77	M/s. Rich Pal Singh.	9891327777	29	77
saket	SAKT	FALSE	TRUE	TRUE	85	812	79	Near Gate No. 2	29	77	M/s. Rich Pal Singh.	9891327777	29	77
sector - 59 noida	SFNN	TRUE	TRUE	FALSE	0	0	0							
sector - 52 noida	SFTN	TRUE	TRUE	FALSE	0	0	0							
shahdara	SHD	TRUE	TRUE	TRUE	163	1569	150	Near Gate No.1	29	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	29	77
shahdara	SHD	TRUE	TRUE	TRUE	163	1569	150	Near Gate No.1	29	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	29	77
shaheed nagar	SHDN	TRUE	TRUE	TRUE	74	714	69	Near Gate No. 2	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677		
shastri park	SHPK	FALSE	TRUE	TRUE	50	250	0	Near Gate No.1	29	77	M/s. Tara Singh	9213224865	29	77
shastri park	SHPK	FALSE	TRUE	TRUE	0	0	55	Near Gate No.1	29	77	M/s. Tara Singh	9213224865	29	77
shastri nagar	SHT	TRUE	TRUE	TRUE	9	70	60	Near Gate No. 2	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
shastri nagar	SHT	TRUE	TRUE	TRUE	9	70	60	Near Gate No. 2	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
shastri nagar	SHT	TRUE	TRUE	TRUE	10	20	110	Near Gate No.1	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
shivaji park	SHVP	TRUE	TRUE	FALSE	0	0	0		29	77				
sikanderpur	SKRP	FALSE	TRUE	TRUE	45	432	42	Near Gate No. 2	28	77	M/s. Joginder Singh.	9910719234	28	77
